Batch_ID,Medicine_Name,Category,Manufacturer,Manufacturing_Date,Expiry_Date,Unit_Cost_USD,Selling_Price_USD,Quantity_In_Stock,Reorder_Level,Sales_Last_30_Days,Storage_Condition,Days_to_Expiry,Daily_Consumption_Rate,Days_to_Exhaust_Stock,Expiry_Risk_Level,AI_Recommendation
BATCH-1017,Lisinopril,Cardiology,Novartis,2023-09-28,2025-08-10,15.09,21.66,415,77,172,Cool Dry Place,587,5.73333333333333,72.3837209302325,Low Risk,No immediate action required
BATCH-1018,Omeprazole,Gastroenterology,Sanofi,2023-06-10,2026-05-23,40.33,52.18,411,49,526,Room Temperature,873,17.5333333333333,23.4410646387832,Low Risk,No immediate action required
BATCH-1019,Omeprazole,Gastroenterology,AstraZeneca,2023-02-12,2025-11-30,13.33,22.18,300,80,33,Room Temperature,699,1.1,272.727272727272,Low Risk,No immediate action required
BATCH-1020,Losartan,Cardiology,Sanofi,2023-11-04,2026-01-11,3.37,4.33,173,23,345,Refrigerated,741,11.5,15.0434782608695,Low Risk,No immediate action required
BATCH-1021,Lisinopril,Cardiology,GlaxoSmithKline,2023-12-17,2026-07-19,19.82,24.72,334,100,558,Refrigerated,930,18.6,17.9569892473118,Low Risk,No immediate action required
BATCH-1022,Ibuprofen,Analgesics,Novartis,2023-12-07,2026-10-12,35.51,53.02,447,80,14,Refrigerated,1015,0.466666666666666,957.857142857142,Low Risk,No immediate action required
BATCH-1023,Losartan,Cardiology,Cipla,2023-03-11,2025-01-27,29.19,42.74,390,64,148,Refrigerated,392,4.93333333333333,79.054054054054,Low Risk,No immediate action required
BATCH-1024,Metoprolol,Cardiology,Sanofi,2023-12-24,2025-09-24,17.42,21.58,210,90,366,Room Temperature,632,12.2,17.2131147540983,Low Risk,No immediate action required
BATCH-1025,Ibuprofen,Analgesics,GlaxoSmithKline,2023-02-28,2024-12-13,47.94,67.73,33,33,499,Cool Dry Place,347,16.6333333333333,1.98396793587174,Low Risk,Reorder stock soon
BATCH-1026,Metoprolol,Cardiology,Merck,2023-04-07,2024-10-05,48.94,66.04,428,98,364,Refrigerated,278,12.1333333333333,35.2747252747252,Low Risk,No immediate action required
BATCH-1027,Amlodipine,Cardiology,Sanofi,2023-08-06,2025-01-07,39.79,58.43,297,80,505,Refrigerated,372,16.8333333333333,17.6435643564356,Low Risk,No immediate action required
BATCH-1028,Ibuprofen,Analgesics,Merck,2023-04-13,2026-02-05,1.88,2.92,144,51,279,Room Temperature,766,9.3,15.4838709677419,Low Risk,No immediate action required
BATCH-1029,Ibuprofen,Analgesics,Merck,2023-07-12,2026-01-25,36.24,56.3,457,94,208,Cool Dry Place,755,6.93333333333333,65.9134615384615,Low Risk,No immediate action required
BATCH-1030,Gabapentin,Neurology,AstraZeneca,2023-04-27,2025-06-14,17.4,29.62,433,89,521,Refrigerated,530,17.3666666666666,24.9328214971209,Low Risk,No immediate action required
BATCH-1031,Gabapentin,Neurology,Merck,2023-03-14,2025-05-26,13.29,20.67,258,79,41,Refrigerated,511,1.36666666666666,188.780487804878,Low Risk,No immediate action required
BATCH-1032,Levothyroxine,Endocrinology,Pfizer,2023-09-19,2026-03-14,8.31,12.27,282,82,510,Refrigerated,803,17.0,16.5882352941176,Low Risk,No immediate action required
BATCH-1033,Paracetamol,Analgesics,Novartis,2023-02-26,2024-09-04,39.51,48.37,467,81,399,Refrigerated,247,13.3,35.1127819548872,Low Risk,No immediate action required
BATCH-1034,Amlodipine,Cardiology,GlaxoSmithKline,2023-08-21,2026-01-10,32.76,51.63,196,60,78,Cool Dry Place,740,2.6,75.3846153846153,Low Risk,No immediate action required
BATCH-1035,Metoprolol,Cardiology,Sanofi,2023-03-21,2024-05-21,35.44,49.28,300,51,317,Room Temperature,141,10.5666666666666,28.391167192429,Low Risk,No immediate action required
BATCH-1036,Metformin,Diabetes,Sanofi,2023-07-04,2026-05-25,5.19,8.53,247,68,394,Refrigerated,875,13.1333333333333,18.8071065989847,Low Risk,No immediate action required
BATCH-1037,Atorvastatin,Cardiology,Pfizer,2023-05-20,2024-12-11,32.07,43.15,222,50,93,Cool Dry Place,345,3.1,71.6129032258064,Low Risk,No immediate action required
BATCH-1038,Amoxicillin,Antibiotics,Sanofi,2023-10-14,2024-12-12,30.12,50.03,244,33,335,Room Temperature,346,11.1666666666666,21.8507462686567,Low Risk,No immediate action required
BATCH-1039,Gabapentin,Neurology,Cipla,2023-09-24,2026-05-31,6.19,7.43,419,69,90,Room Temperature,881,3.0,139.666666666666,Low Risk,No immediate action required
BATCH-1040,Gabapentin,Neurology,Pfizer,2023-03-30,2024-08-14,34.35,55.99,109,42,451,Room Temperature,226,15.0333333333333,7.25055432372505,Low Risk,No immediate action required
BATCH-1041,Omeprazole,Gastroenterology,Novartis,2023-11-14,2026-08-11,19.18,23.4,149,84,229,Cool Dry Place,953,7.63333333333333,19.5196506550218,Low Risk,No immediate action required
BATCH-1042,Gabapentin,Neurology,Sanofi,2023-11-23,2026-08-26,30.35,49.8,444,82,573,Refrigerated,968,19.1,23.2460732984293,Low Risk,No immediate action required
BATCH-1043,Albuterol,Respiratory,GlaxoSmithKline,2023-12-14,2026-08-01,44.75,65.7,368,88,369,Cool Dry Place,943,12.3,29.9186991869918,Low Risk,No immediate action required
BATCH-1044,Atorvastatin,Cardiology,Sanofi,2023-03-27,2025-07-28,6.99,10.61,172,71,161,Room Temperature,574,5.36666666666666,32.0496894409937,Low Risk,No immediate action required
BATCH-1045,Paracetamol,Analgesics,Novartis,2023-02-28,2025-02-24,7.77,9.84,444,30,495,Room Temperature,420,16.5,26.9090909090909,Low Risk,No immediate action required
BATCH-1046,Albuterol,Respiratory,Cipla,2023-03-25,2025-06-10,19.55,26.67,148,38,342,Room Temperature,526,11.4,12.9824561403508,Low Risk,No immediate action required
BATCH-1047,Levothyroxine,Endocrinology,Cipla,2023-06-20,2025-07-25,28.05,44.42,137,77,504,Refrigerated,571,16.8,8.1547619047619,Low Risk,No immediate action required
BATCH-1048,Losartan,Cardiology,Cipla,2023-04-23,2024-05-20,19.93,26.63,436,78,489,Cool Dry Place,140,16.3,26.7484662576687,Low Risk,No immediate action required
BATCH-1049,Amoxicillin,Antibiotics,GlaxoSmithKline,2023-08-07,2024-08-15,3.25,5.72,135,69,355,Room Temperature,227,11.8333333333333,11.4084507042253,Low Risk,No immediate action required
BATCH-1050,Omeprazole,Gastroenterology,Pfizer,2023-11-29,2025-03-27,47.71,81.24,36,73,82,Room Temperature,451,2.73333333333333,13.170731707317,Low Risk,Reorder stock soon
BATCH-1051,Ibuprofen,Analgesics,Sanofi,2023-09-09,2024-12-18,4.98,6.95,51,76,209,Refrigerated,352,6.96666666666666,7.32057416267942,Low Risk,Reorder stock soon
BATCH-1052,Atorvastatin,Cardiology,Pfizer,2023-11-14,2025-02-18,15.19,20.12,152,28,479,Refrigerated,414,15.9666666666666,9.51983298538622,Low Risk,No immediate action required
BATCH-1053,Amlodipine,Cardiology,GlaxoSmithKline,2023-03-19,2025-05-02,19.8,31.53,156,74,286,Cool Dry Place,487,9.53333333333333,16.3636363636363,Low Risk,No immediate action required
BATCH-1054,Metoprolol,Cardiology,GlaxoSmithKline,2023-05-22,2025-04-05,31.88,50.12,385,59,348,Cool Dry Place,460,11.6,33.1896551724137,Low Risk,No immediate action required
BATCH-1055,Lisinopril,Cardiology,Pfizer,2023-12-12,2026-10-21,2.63,3.19,286,41,172,Room Temperature,1024,5.73333333333333,49.8837209302325,Low Risk,No immediate action required
BATCH-1056,Metformin,Diabetes,Pfizer,2023-08-28,2025-12-25,26.59,46.5,113,49,172,Room Temperature,724,5.73333333333333,19.7093023255813,Low Risk,No immediate action required
BATCH-1057,Metoprolol,Cardiology,Sanofi,2023-07-24,2024-08-16,15.43,23.24,433,49,56,Cool Dry Place,228,1.86666666666666,231.964285714285,High Risk,Redistribute to high-demand departments immediately
BATCH-1058,Paracetamol,Analgesics,Pfizer,2023-12-22,2026-04-02,10.35,15.89,392,81,369,Cool Dry Place,822,12.3,31.8699186991869,Low Risk,No immediate action required
BATCH-1059,Ibuprofen,Analgesics,Novartis,2023-06-28,2024-07-08,12.62,19.64,171,70,434,Room Temperature,189,14.4666666666666,11.8202764976958,Low Risk,No immediate action required
BATCH-1060,Sertraline,Psychiatry,Merck,2023-07-03,2025-12-23,46.54,62.13,471,84,141,Refrigerated,722,4.7,100.212765957446,Low Risk,No immediate action required
BATCH-1061,Ibuprofen,Analgesics,AstraZeneca,2023-10-10,2026-04-26,43.4,76.8,77,52,456,Refrigerated,846,15.2,5.06578947368421,Low Risk,No immediate action required
BATCH-1062,Gabapentin,Neurology,Merck,2023-05-27,2025-07-16,47.94,75.55,294,96,2,Room Temperature,562,0.0666666666666666,4410.0,High Risk,Redistribute to high-demand departments immediately
BATCH-1063,Metoprolol,Cardiology,Sanofi,2023-08-19,2026-04-21,39.91,60.08,430,97,179,Cool Dry Place,841,5.96666666666666,72.0670391061452,Low Risk,No immediate action required
BATCH-1064,Gabapentin,Neurology,Sanofi,2023-09-03,2026-04-17,37.98,57.98,275,78,502,Room Temperature,837,16.7333333333333,16.4342629482071,Low Risk,No immediate action required
BATCH-1065,Amoxicillin,Antibiotics,Sanofi,2023-08-05,2025-09-11,37.56,67.17,318,48,200,Refrigerated,619,6.66666666666666,47.6999999999999,Low Risk,No immediate action required
BATCH-1066,Losartan,Cardiology,AstraZeneca,2023-12-11,2026-06-01,38.34,64.85,195,96,338,Room Temperature,882,11.2666666666666,17.3076923076923,Low Risk,No immediate action required
BATCH-1067,Metformin,Diabetes,GlaxoSmithKline,2023-04-16,2026-03-07,5.84,9.6,26,26,338,Refrigerated,796,11.2666666666666,2.3076923076923,Low Risk,Reorder stock soon
BATCH-1068,Ibuprofen,Analgesics,AstraZeneca,2023-10-27,2026-04-03,32.84,57.62,316,98,252,Cool Dry Place,823,8.4,37.6190476190476,Low Risk,No immediate action required
BATCH-1069,Albuterol,Respiratory,Novartis,2023-01-02,2024-08-28,3.18,4.98,103,95,505,Room Temperature,240,16.8333333333333,6.11881188118811,Low Risk,No immediate action required
BATCH-1070,Sertraline,Psychiatry,Sanofi,2023-11-29,2026-07-18,30.26,48.25,290,79,373,Refrigerated,929,12.4333333333333,23.3243967828418,Low Risk,No immediate action required
BATCH-1071,Omeprazole,Gastroenterology,AstraZeneca,2023-04-06,2026-03-18,33.88,47.06,256,95,43,Cool Dry Place,807,1.43333333333333,178.60465116279,Low Risk,No immediate action required
BATCH-1072,Amoxicillin,Antibiotics,GlaxoSmithKline,2023-12-15,2025-10-03,32.84,44.59,317,80,77,Room Temperature,641,2.56666666666666,123.506493506493,Low Risk,No immediate action required
BATCH-1073,Omeprazole,Gastroenterology,AstraZeneca,2023-09-29,2026-06-03,49.7,68.98,212,57,217,Cool Dry Place,884,7.23333333333333,29.3087557603686,Low Risk,No immediate action required
BATCH-1074,Gabapentin,Neurology,AstraZeneca,2023-09-07,2026-03-07,4.35,6.75,168,43,579,Refrigerated,796,19.3,8.70466321243523,Low Risk,No immediate action required
BATCH-1075,Levothyroxine,Endocrinology,Pfizer,2023-04-25,2024-07-22,3.44,5.59,315,68,195,Cool Dry Place,203,6.5,48.4615384615384,Low Risk,No immediate action required
BATCH-1076,Metformin,Diabetes,Pfizer,2023-04-13,2025-05-10,37.34,48.63,58,20,400,Refrigerated,495,13.3333333333333,4.35,Low Risk,No immediate action required
BATCH-1077,Amlodipine,Cardiology,Merck,2023-10-06,2025-08-20,18.74,25.77,249,76,102,Cool Dry Place,597,3.4,73.235294117647,Low Risk,No immediate action required
BATCH-1078,Amoxicillin,Antibiotics,Sanofi,2023-12-19,2025-09-12,27.9,48.89,305,38,569,Room Temperature,620,18.9666666666666,16.0808435852372,Low Risk,No immediate action required
BATCH-1079,Ibuprofen,Analgesics,GlaxoSmithKline,2023-12-09,2026-10-12,3.42,5.44,115,72,402,Cool Dry Place,1015,13.4,8.5820895522388,Low Risk,No immediate action required
BATCH-1080,Sertraline,Psychiatry,Pfizer,2023-03-24,2024-12-24,2.04,2.73,247,24,215,Room Temperature,358,7.16666666666666,34.4651162790697,Low Risk,No immediate action required
BATCH-1081,Losartan,Cardiology,Novartis,2023-12-07,2025-06-06,39.45,63.28,82,73,371,Room Temperature,522,12.3666666666666,6.63072776280323,Low Risk,No immediate action required
BATCH-1082,Levothyroxine,Endocrinology,Cipla,2023-09-03,2025-10-26,18.42,30.66,240,76,23,Cool Dry Place,664,0.766666666666666,313.043478260869,Low Risk,No immediate action required
BATCH-1083,Metformin,Diabetes,GlaxoSmithKline,2023-05-16,2025-03-13,12.86,17.18,479,62,60,Refrigerated,437,2.0,239.5,Low Risk,No immediate action required
BATCH-1084,Levothyroxine,Endocrinology,Pfizer,2023-11-18,2024-12-30,13.8,18.02,241,94,283,Cool Dry Place,364,9.43333333333333,25.547703180212,Low Risk,No immediate action required
BATCH-1085,Losartan,Cardiology,GlaxoSmithKline,2023-03-07,2025-11-05,5.39,6.94,262,35,493,Cool Dry Place,674,16.4333333333333,15.9432048681541,Low Risk,No immediate action required
BATCH-1086,Losartan,Cardiology,Sanofi,2023-04-06,2026-02-12,20.75,28.75,481,99,149,Refrigerated,773,4.96666666666666,96.8456375838926,Low Risk,No immediate action required
BATCH-1087,Amoxicillin,Antibiotics,GlaxoSmithKline,2023-12-13,2026-02-14,18.36,27.92,399,96,365,Cool Dry Place,775,12.1666666666666,32.7945205479452,Low Risk,No immediate action required
BATCH-1088,Ibuprofen,Analgesics,Sanofi,2023-11-07,2025-08-18,33.71,47.06,147,71,260,Room Temperature,595,8.66666666666666,16.9615384615384,Low Risk,No immediate action required
BATCH-1089,Albuterol,Respiratory,Pfizer,2023-05-18,2024-12-12,36.29,63.79,176,65,16,Refrigerated,346,0.533333333333333,330.0,Low Risk,No immediate action required
BATCH-1090,Azithromycin,Antibiotics,Merck,2023-02-27,2025-01-17,29.04,42.66,203,60,24,Refrigerated,382,0.8,253.75,Low Risk,No immediate action required
BATCH-1091,Sertraline,Psychiatry,Merck,2023-02-03,2025-09-22,16.89,27.04,37,54,544,Cool Dry Place,630,18.1333333333333,2.04044117647058,Low Risk,Reorder stock soon
BATCH-1092,Azithromycin,Antibiotics,Cipla,2023-01-08,2024-09-27,32.43,49.77,120,100,164,Cool Dry Place,270,5.46666666666666,21.9512195121951,Low Risk,No immediate action required
BATCH-1093,Amlodipine,Cardiology,Merck,2023-02-12,2025-04-24,30.41,47.1,348,66,494,Cool Dry Place,479,16.4666666666666,21.1336032388664,Low Risk,No immediate action required
BATCH-1094,Omeprazole,Gastroenterology,Cipla,2023-06-20,2025-06-22,35.2,45.46,283,61,550,Cool Dry Place,538,18.3333333333333,15.4363636363636,Low Risk,No immediate action required
BATCH-1095,Sertraline,Psychiatry,Cipla,2023-08-11,2025-04-19,38.78,61.22,226,94,547,Refrigerated,474,18.2333333333333,12.3948811700182,Low Risk,No immediate action required
BATCH-1096,Azithromycin,Antibiotics,Cipla,2023-08-30,2026-08-21,28.83,41.24,442,50,235,Cool Dry Place,963,7.83333333333333,56.4255319148936,Low Risk,No immediate action required
BATCH-1097,Atorvastatin,Cardiology,Sanofi,2023-02-16,2024-05-20,3.71,5.23,32,64,554,Room Temperature,140,18.4666666666666,1.73285198555956,Low Risk,Reorder stock soon
BATCH-1098,Albuterol,Respiratory,AstraZeneca,2023-03-16,2025-12-24,41.09,58.08,405,36,422,Room Temperature,723,14.0666666666666,28.7914691943127,Low Risk,No immediate action required
BATCH-1099,Omeprazole,Gastroenterology,Pfizer,2023-06-10,2024-12-20,19.7,27.03,183,99,237,Room Temperature,354,7.9,23.1645569620253,Low Risk,No immediate action required
BATCH-1100,Gabapentin,Neurology,Merck,2023-08-25,2024-12-26,16.91,28.39,369,85,158,Room Temperature,360,5.26666666666666,70.0632911392405,Low Risk,No immediate action required
BATCH-1101,Metoprolol,Cardiology,Merck,2023-06-29,2026-01-01,10.58,16.6,462,75,471,Room Temperature,731,15.7,29.4267515923566,Low Risk,No immediate action required
BATCH-1102,Amoxicillin,Antibiotics,AstraZeneca,2023-08-04,2024-11-04,7.0,12.43,166,38,473,Cool Dry Place,308,15.7666666666666,10.5285412262156,Low Risk,No immediate action required
BATCH-1103,Azithromycin,Antibiotics,GlaxoSmithKline,2023-09-30,2026-06-15,47.83,80.96,41,54,440,Room Temperature,896,14.6666666666666,2.79545454545454,Low Risk,Reorder stock soon
BATCH-1104,Sertraline,Psychiatry,AstraZeneca,2023-04-28,2025-07-26,2.08,3.56,49,95,258,Refrigerated,572,8.6,5.69767441860465,Low Risk,Reorder stock soon
BATCH-1105,Paracetamol,Analgesics,AstraZeneca,2023-10-26,2025-05-24,20.64,28.49,233,39,425,Room Temperature,509,14.1666666666666,16.4470588235294,Low Risk,No immediate action required
BATCH-1106,Atorvastatin,Cardiology,Pfizer,2023-07-18,2025-07-27,16.27,23.86,6,55,42,Room Temperature,573,1.4,4.28571428571428,Low Risk,Reorder stock soon
BATCH-1107,Metoprolol,Cardiology,Merck,2023-09-14,2025-04-19,38.74,67.26,185,77,541,Refrigerated,474,18.0333333333333,10.2587800369685,Low Risk,No immediate action required
BATCH-1108,Amlodipine,Cardiology,Merck,2023-05-13,2024-12-09,7.1,11.27,384,49,478,Refrigerated,343,15.9333333333333,24.1004184100418,Low Risk,No immediate action required
BATCH-1109,Omeprazole,Gastroenterology,Pfizer,2023-10-15,2025-01-04,9.69,16.89,19,89,437,Refrigerated,369,14.5666666666666,1.30434782608695,Low Risk,Reorder stock soon
BATCH-1110,Ibuprofen,Analgesics,Merck,2023-08-18,2026-07-13,45.63,79.27,392,59,455,Cool Dry Place,924,15.1666666666666,25.8461538461538,Low Risk,No immediate action required
BATCH-1111,Lisinopril,Cardiology,Novartis,2023-10-17,2026-07-10,35.53,46.2,394,56,559,Refrigerated,921,18.6333333333333,21.1449016100178,Low Risk,No immediate action required
BATCH-1112,Omeprazole,Gastroenterology,Merck,2023-04-08,2024-10-27,16.06,27.64,406,98,538,Refrigerated,300,17.9333333333333,22.6394052044609,Low Risk,No immediate action required
BATCH-1113,Paracetamol,Analgesics,Merck,2023-10-15,2026-04-20,31.05,44.58,238,90,45,Room Temperature,840,1.5,158.666666666666,Low Risk,No immediate action required
BATCH-1114,Metformin,Diabetes,Merck,2023-09-27,2026-01-26,24.42,31.97,252,26,138,Cool Dry Place,756,4.6,54.7826086956521,Low Risk,No immediate action required
BATCH-1115,Metformin,Diabetes,AstraZeneca,2023-06-03,2025-06-11,36.87,47.27,159,72,197,Cool Dry Place,527,6.56666666666666,24.2131979695431,Low Risk,No immediate action required
BATCH-1116,Ibuprofen,Analgesics,Novartis,2023-02-13,2026-01-06,33.84,54.38,289,54,156,Room Temperature,736,5.2,55.576923076923,Low Risk,No immediate action required
BATCH-1117,Metformin,Diabetes,Novartis,2023-03-09,2025-03-24,37.79,53.02,221,21,579,Cool Dry Place,448,19.3,11.4507772020725,Low Risk,No immediate action required
BATCH-1118,Gabapentin,Neurology,Cipla,2023-04-14,2025-09-03,35.47,42.71,6,22,233,Refrigerated,611,7.76666666666666,0.772532188841201,Low Risk,Reorder stock soon
BATCH-1119,Losartan,Cardiology,Merck,2023-08-31,2025-06-14,49.82,88.23,41,30,577,Cool Dry Place,530,19.2333333333333,2.1317157712305,Low Risk,No immediate action required
BATCH-1120,Amoxicillin,Antibiotics,Novartis,2023-10-26,2026-05-27,24.36,43.23,426,52,7,Refrigerated,877,0.233333333333333,1825.71428571428,High Risk,Redistribute to high-demand departments immediately
BATCH-1121,Gabapentin,Neurology,AstraZeneca,2023-05-10,2025-12-02,23.69,36.63,278,48,168,Cool Dry Place,701,5.6,49.6428571428571,Low Risk,No immediate action required
BATCH-1122,Lisinopril,Cardiology,Pfizer,2023-05-30,2026-01-23,49.75,73.41,57,65,251,Room Temperature,753,8.36666666666666,6.81274900398406,Low Risk,Reorder stock soon
BATCH-1123,Azithromycin,Antibiotics,Pfizer,2023-11-02,2025-04-16,48.85,87.09,443,43,310,Room Temperature,471,10.3333333333333,42.8709677419354,Low Risk,No immediate action required
BATCH-1124,Sertraline,Psychiatry,Novartis,2023-02-28,2024-12-30,15.42,25.51,80,46,266,Cool Dry Place,364,8.86666666666666,9.02255639097744,Low Risk,No immediate action required
BATCH-1125,Ibuprofen,Analgesics,Merck,2023-11-14,2026-02-24,37.86,67.33,476,60,420,Room Temperature,785,14.0,34.0,Low Risk,No immediate action required
BATCH-1126,Losartan,Cardiology,Merck,2023-12-08,2025-06-25,26.7,44.56,179,63,255,Room Temperature,541,8.5,21.0588235294117,Low Risk,No immediate action required
BATCH-1127,Metoprolol,Cardiology,Merck,2023-10-01,2025-09-02,48.84,68.63,291,39,318,Cool Dry Place,610,10.6,27.4528301886792,Low Risk,No immediate action required
BATCH-1128,Omeprazole,Gastroenterology,Pfizer,2023-07-26,2026-02-26,25.62,43.76,206,44,4,Room Temperature,787,0.133333333333333,1545.0,High Risk,Redistribute to high-demand departments immediately
BATCH-1129,Metformin,Diabetes,Merck,2023-11-03,2025-07-11,11.39,17.55,166,43,233,Room Temperature,557,7.76666666666666,21.3733905579399,Low Risk,No immediate action required
BATCH-1130,Paracetamol,Analgesics,GlaxoSmithKline,2023-02-19,2024-12-19,44.13,66.48,160,38,513,Cool Dry Place,353,17.1,9.35672514619883,Low Risk,No immediate action required
BATCH-1131,Gabapentin,Neurology,AstraZeneca,2023-11-25,2026-07-21,9.53,12.23,100,57,88,Room Temperature,932,2.93333333333333,34.090909090909,Low Risk,No immediate action required
BATCH-1132,Gabapentin,Neurology,Sanofi,2023-02-04,2024-10-27,27.23,42.45,82,78,93,Room Temperature,300,3.1,26.4516129032258,Low Risk,No immediate action required
BATCH-1133,Metoprolol,Cardiology,Merck,2023-09-29,2025-01-22,4.08,6.21,268,53,540,Refrigerated,387,18.0,14.8888888888888,Low Risk,No immediate action required
BATCH-1134,Sertraline,Psychiatry,GlaxoSmithKline,2023-09-10,2025-04-30,33.89,48.46,259,54,323,Refrigerated,485,10.7666666666666,24.0557275541795,Low Risk,No immediate action required
BATCH-1135,Sertraline,Psychiatry,AstraZeneca,2023-02-27,2026-02-22,20.19,28.29,324,52,7,Cool Dry Place,783,0.233333333333333,1388.57142857142,High Risk,Redistribute to high-demand departments immediately
BATCH-1136,Metformin,Diabetes,Merck,2023-06-08,2026-03-11,46.67,81.0,453,35,410,Refrigerated,800,13.6666666666666,33.1463414634146,Low Risk,No immediate action required
BATCH-1137,Gabapentin,Neurology,Sanofi,2023-07-26,2026-03-30,37.35,50.91,252,23,321,Room Temperature,819,10.7,23.5514018691588,Low Risk,No immediate action required
BATCH-1138,Lisinopril,Cardiology,Pfizer,2023-06-29,2025-08-15,42.28,70.2,80,22,174,Room Temperature,592,5.8,13.7931034482758,Low Risk,No immediate action required
BATCH-1139,Azithromycin,Antibiotics,Cipla,2023-04-11,2024-08-01,11.51,14.23,72,75,445,Refrigerated,213,14.8333333333333,4.85393258426966,Low Risk,Reorder stock soon
BATCH-1140,Amoxicillin,Antibiotics,Sanofi,2023-05-25,2024-10-02,10.18,17.03,105,43,229,Cool Dry Place,275,7.63333333333333,13.7554585152838,Low Risk,No immediate action required
BATCH-1141,Amlodipine,Cardiology,GlaxoSmithKline,2023-08-24,2026-08-09,4.2,7.43,11,44,340,Cool Dry Place,951,11.3333333333333,0.970588235294117,Low Risk,Reorder stock soon
BATCH-1142,Gabapentin,Neurology,Cipla,2023-10-12,2026-09-29,49.38,77.32,434,59,196,Refrigerated,1002,6.53333333333333,66.4285714285714,Low Risk,No immediate action required
BATCH-1143,Losartan,Cardiology,Novartis,2023-09-18,2026-07-22,34.05,46.93,470,35,315,Room Temperature,933,10.5,44.7619047619047,Low Risk,No immediate action required
BATCH-1144,Levothyroxine,Endocrinology,Pfizer,2023-09-03,2026-05-31,39.06,65.38,333,96,286,Cool Dry Place,881,9.53333333333333,34.9300699300699,Low Risk,No immediate action required
BATCH-1145,Sertraline,Psychiatry,Merck,2023-06-24,2024-06-24,42.56,66.86,386,31,473,Cool Dry Place,175,15.7666666666666,24.4820295983086,Low Risk,No immediate action required
BATCH-1146,Ibuprofen,Analgesics,Sanofi,2023-06-24,2026-06-04,25.92,40.84,36,70,12,Room Temperature,885,0.4,90.0,Low Risk,Reorder stock soon
